rank,company,country,industry,employees,website,source
1,Walmart,U.S.,General Merchandisers,2300000,www.walmart.com,fortune-global-500
2,Amazon.com,U.S.,Internet Services and Retailing,1608000,www.amazon.com,fortune-global-500
3,China National Petroleum,China,Petroleum Refining,1090345,www.cnpc.com.cn,fortune-global-500
4,State Grid,China,Utilities,871145,www.sgcc.com.cn,fortune-global-500
5,Hon Hai Precision Industry,Taiwan,"Electronics, Electrical Equip.",826608,www.foxconn.com,fortune-global-500
6,China Post Group,China,"Mail, Package and Freight Delivery",748920,www.chinapost.com.cn,fortune-global-500
7,Volkswagen,Germany,Motor Vehicles & Parts,672789,www.volkswagenag.com,fortune-global-500
8,Accenture,Ireland,Information Technology Services,624000,www.accenture.com,fortune-global-500
9,U.S. Postal Service,U.S.,"Mail, Package and Freight Delivery",584902,www.usps.com,fortune-global-500
10,Deutsche Post DHL Group,Germany,"Mail, Package and Freight Delivery",548042,www.dpdhl.com,fortune-global-500
11,Sinopec Group,China,Petroleum Refining,542286,www.sinopec.com,fortune-global-500
12,FedEx,U.S.,"Mail, Package and Freight Delivery",508650,www.fedex.com,fortune-global-500
13,Jinneng Holding Group,China,"Mining, Crude-Oil Production",506364,www.dtcoalmine.com,fortune-global-500
14,Home Depot,U.S.,Specialty Retailers,490600,www.homedepot.com,fortune-global-500
15,Gazprom,Russia,Energy,468000,www.gazprom.com,fortune-global-500
16,Agricultural Bank of China,China,Banks: Commercial and Savings,455174,www.abchina.com,fortune-global-500
17,Concentrix Corporation,United States,,455000,,largest-us-employers
18,China Mobile Communications,China,Telecommunications,451331,www.10086.cn,fortune-global-500
19,Target,U.S.,General Merchandisers,450000,www.target.com,fortune-global-500
20,Industrial & Commercial Bank of China,China,Banks: Commercial and Savings,434089,www.icbc-ltd.com,fortune-global-500
21,Kroger,U.S.,Food & Drug Stores,420000,www.thekrogerco.com,fortune-global-500
22,"Marriott International, Inc.",United States,,414000,,largest-us-employers
23,Edeka Zentrale,Germany,Wholesalers: Food and Grocery,404900,www.verbund.edeka,fortune-global-500
24,Bosch Group,Germany,Motor Vehicles & Parts,402614,www.bosch.com,fortune-global-500
25,United Parcel Service,U.S.,"Mail, Package and Freight Delivery",400945,www.ups.com,fortune-global-500
26,Jardine Matheson,China,Motor Vehicles & Parts,400000,www.jardines.com,fortune-global-500
27,China Telecommunications,China,Telecommunications,394600,www.chinatelecom.com.cn,fortune-global-500
28,UnitedHealth Group Incorporated,United States,,390000,,largest-us-employers
29,JD.com,China,Internet Services and Retailing,385357,www.jd.com,fortune-global-500
30,Starbucks,U.S.,Food Services,383000,www.starbucks.com,fortune-global-500
31,Aviation Industry Corp. of China,China,Aerospace & Defense,380000,www.avic.com,fortune-global-500
32,"The TJX Companies, Inc.",United States,,377000,,largest-us-employers
33,China Construction Bank,China,Banks: Commercial and Savings,375531,www.ccb.com,fortune-global-500
34,Toyota Motor,Japan,Motor Vehicles & Parts,372817,www.global.toyota/en/,fortune-global-500
35,Berkshire Hathaway,U.S.,Insurance: Property and Casualty (Stock),372000,www.berkshirehathaway.com,fortune-global-500
36,China State Construction Engineering,China,Engineering & Construction,368327,www.cscec.com,fortune-global-500
37,Hitachi,Japan,"Electronics, Electrical Equip.",368247,www.hitachi.com,fortune-global-500
38,China Railway Construction,China,Engineering & Construction,366833,www.crcc.cn,fortune-global-500
39,China Resources,China,Pharmaceuticals,362706,www.crc.com.hk,fortune-global-500
40,Rosneft Oil,Russia,Petroleum Refining,356000,www.rosneft.com,fortune-global-500
41,Ping An Insurance,China,"Insurance: Life, Health (Stock)",355982,www.group.pingan.com,fortune-global-500
42,Cognizant Technology Solutions Corporation,United States,,351600,,largest-us-employers
43,UnitedHealth Group,U.S.,Health Care: Insurance and Managed Care,350000,www.unitedhealthgroup.com,fortune-global-500
44,Reliance Industries,India,Petroleum Refining,342982,www.ril.com,fortune-global-500
45,X5 Retail Group,Netherlands,Food & Drug Stores,340928,www.x5.ru,fortune-global-500
46,TJX,U.S.,Specialty Retailers,340000,www.tjx.com,fortune-global-500
47,Nippon Telegraph and Telephone,Japan,Telecommunications,333840,www.group.ntt,fortune-global-500
48,Deutsche Bahn,Germany,Railroads,323716,www.deutschebahn.com,fortune-global-500
49,Carrefour,France,Food & Drug Stores,319565,www.carrefour.com,fortune-global-500
50,China Energy Investment,China,"Mining, Crude-Oil Production",317168,www.ceic.com,fortune-global-500
51,China Railway Engineering Group,China,Engineering & Construction,310817,www.crecg.com,fortune-global-500
52,Pacific Construction Group,China,Engineering & Construction,310719,www.cpcg.com.cn,fortune-global-500
53,PepsiCo,U.S.,Food Consumer Products,309000,www.pepsico.com,fortune-global-500
54,Bank of China,China,Banks: Commercial and Savings,306322,www.boc.cn,fortune-global-500
55,Siemens,Germany,Industrial Machinery,303000,www.siemens.com,fortune-global-500
56,"TriNet Group, Inc.",United States,,302955,,largest-us-employers
57,CK Hutchison Holdings,China,Specialty Retailers,300000,www.ckh.com.hk,fortune-global-500
58,International Business Machines,U.S.,Information Technology Services,297800,www.ibm.com,fortune-global-500
59,BYD,China,Motor Vehicles & Parts,288186,www.byd.com,fortune-global-500
60,AEON,Japan,Food & Drug Stores,288064,www.aeon.info,fortune-global-500
61,Costco Wholesale,U.S.,General Merchandisers,288000,www.costco.com,fortune-global-500
62,Sberbank,Russia,Banks: Commercial and Savings,287866,www.sberbank.ru,fortune-global-500
63,China Southern Power Grid,China,Utilities,282006,www.csg.cn,fortune-global-500
64,Stellantis,Netherlands,Motor Vehicles & Parts,281595,www.stellantis.com,fortune-global-500
65,Sumitomo Electric Industries,Japan,Motor Vehicles & Parts,281075,www.global-sei.com,fortune-global-500
66,Fresenius,Germany,Health Care: Medical Facilities,281011,www.fresenius.com,fortune-global-500
67,"Albertsons Companies, Inc.",United States,,280000,,largest-us-employers
68,Aramark,United States,,278390,,largest-us-employers
69,Nestlé,Switzerland,Food Consumer Products,276000,www.nestle.com,fortune-global-500
70,"Lowe's Companies, Inc.",United States,,276000,,largest-us-employers
71,JPMorgan Chase,U.S.,Banks: Commercial and Savings,271025,www.jpmorganchase.com,fortune-global-500
72,SNCF Group,France,Railroads,270296,www.sncf.com,fortune-global-500
73,Lowe's,U.S.,Specialty Retailers,270000,www.lowes.com,fortune-global-500
74,Samsung Electronics,South Korea,"Electronics, Electrical Equip.",266673,www.samsung.com,fortune-global-500
75,China Merchants Group,China,"Mail, Package and Freight Delivery",264161,www.cmhk.com,fortune-global-500
76,Royal Ahold Delhaize,Netherlands,Food & Drug Stores,259000,www.aholddelhaize.com,fortune-global-500
77,Walgreens Boots Alliance,U.S.,Food & Drug Stores,258500,www.walgreensbootsalliance.com,fortune-global-500
78,CVS Health,U.S.,Health Care: Pharmacy and Other Services,258000,www.cvshealth.com,fortune-global-500
79,Alibaba Group Holding,China,Internet Services and Retailing,254941,www.alibabagroup.com,fortune-global-500
80,JBS,Brazil,Food Production,250000,jbs.com.br,fortune-global-500
81,Wells Fargo,U.S.,Banks: Commercial and Savings,247848,www.wellsfargo.com,fortune-global-500
82,La Poste,France,"Mail, Package and Freight Delivery",244980,www.groupelaposte.com,fortune-global-500
83,State Bank of India,India,Banks: Commercial and Savings,244250,www.sbi.co.in,fortune-global-500
84,HCA Healthcare,U.S.,Health Care: Medical Facilities,244000,www.hcahealthcare.com,fortune-global-500
85,Shandong Energy Group,China,"Mining, Crude-Oil Production",243124,www.shandong-energy.com,fortune-global-500
86,China United Network Communications,China,Telecommunications,242661,www.chinaunicom-a.com,fortune-global-500
87,Panasonic Holdings,Japan,"Electronics, Electrical Equip.",240198,www.holdings.panasonic/global,fortune-global-500
88,Jabil,U.S.,Semiconductors & Other Electronic Components,238000,www.jabil.com,fortune-global-500
89,Japan Post Holdings,Japan,"Insurance: Life, Health (Stock)",232112,www.japanpost.jp,fortune-global-500
90,Publix Super Markets,U.S.,Food & Drug Stores,232000,www.publix.com,fortune-global-500
91,Tesco,Britain,Food & Drug Stores,231223,www.tescoplc.com,fortune-global-500
92,China Baowu Steel Group,China,Metals,230884,www.baowugroup.com,fortune-global-500
93,Citigroup,U.S.,Banks: Commercial and Savings,221768,www.citigroup.com,fortune-global-500
94,Sinochem Holdings,China,Chemicals,220760,www.sinochem.com,fortune-global-500
95,China Communications Construction,China,Engineering & Construction,220519,www.ccccltd.cn,fortune-global-500
96,HSBC Holdings,Britain,Banks: Commercial and Savings,219697,www.hsbc.com,fortune-global-500
97,Vinci,France,Engineering & Construction,219299,www.vinci.com,fortune-global-500
98,Deutsche Telekom,Germany,Telecommunications,216528,www.telekom.com,fortune-global-500
99,George Weston,Canada,Food & Drug Stores,215298,www.weston.ca,fortune-global-500
100,China North Industries Group,China,Aerospace & Defense,213957,www.norincogroup.com.cn,fortune-global-500
101,China State Shipbuilding,China,Shipping,213849,www.cssc.net.cn,fortune-global-500
102,Woolworths Group,Australia,Food & Drug Stores,210067,www.woolworthsgroup.com.au,fortune-global-500
103,"Darden Restaurants, Inc.",United States,,209931,,largest-us-employers
104,Bank of America,U.S.,Banks: Commercial and Savings,208248,www.bankofamerica.com,fortune-global-500
105,China National Building Material Group,China,"Building Materials, Glass",206910,www.cnbm.com.cn,fortune-global-500
106,Honda Motor,Japan,Motor Vehicles & Parts,204035,www.global.honda/,fortune-global-500
107,AT&T,U.S.,Telecommunications,202600,www.att.com,fortune-global-500
108,China Electronics Technology Group,China,Aerospace & Defense,202561,www.cetc.com.cn,fortune-global-500
109,Shanxi Coking Coal Group,China,"Mining, Crude-Oil Production",202079,www.sxcc.com.cn,fortune-global-500
110,Sinopharm,China,Pharmaceuticals,201092,www.sinopharm.com,fortune-global-500
111,Finatis,France,Food & Drug Stores,196350,www.finatis.fr,fortune-global-500
112,Albertsons,U.S.,Food & Drug Stores,195750,www.albertsonscompanies.com,fortune-global-500
113,Huawei Investment & Holding,China,Network & Other Communications Equipment,195000,www.huawei.com,fortune-global-500
114,Banco Santander,Spain,Banks: Commercial and Savings,194479,www.santander.com,fortune-global-500
115,China Minmetals,China,Metals,193965,www.minmetals.com,fortune-global-500
116,China Electronics,China,"Electronics, Electrical Equip.",191126,www.cec.com.cn,fortune-global-500
117,Continental,Germany,Motor Vehicles & Parts,190875,www.continental.com,fortune-global-500
118,BNP Paribas,France,Banks: Commercial and Savings,189765,www.group.bnpparibas,fortune-global-500
119,Comcast,U.S.,Telecommunications,189000,www.comcastcorporation.com,fortune-global-500
120,People's Insurance Co. of China,China,Insurance: Property and Casualty (Stock),184364,www.picc.com.cn,fortune-global-500
121,Canon,Japan,"Computers, Office Equipment",184034,www.global.canon,fortune-global-500
122,Ford Motor,U.S.,Motor Vehicles & Parts,183000,www.ford.com,fortune-global-500
123,China Life Insurance,China,"Insurance: Life, Health (Stock)",182646,www.chinalife.com.cn,fortune-global-500
124,Hilton Worldwide Holdings Inc.,United States,,182000,,largest-us-employers
125,PowerChina,China,Engineering & Construction,181330,www.powerchina.cn,fortune-global-500
126,América Móvil,Mexico,Telecommunications,181205,www.americamovil.com,fortune-global-500
127,China National Nuclear,China,Energy,181100,www.cnnc.com.cn,fortune-global-500
128,Microsoft,U.S.,Computer Software,181000,www.microsoft.com,fortune-global-500
129,Brookfield Asset Management,Canada,Diversified Financials,181000,www.brookfield.com,fortune-global-500
130,China Aerospace Science & Technology,China,Aerospace & Defense,180521,www.spacechina.com,fortune-global-500
131,RTX Corporation,United States,,180000,,largest-us-employers
132,S.F. Holding,China,Transportation and Logistics,177129,www.sf-express.com,fortune-global-500
133,Ingka Group,Netherlands,Specialty Retailers,174225,www.ingka.com,fortune-global-500
134,Raytheon Technologies,U.S.,Aerospace & Defense,174000,www.rtx.com,fortune-global-500
135,Ansteel Group,China,Metals,173597,www.ansteel.cn,fortune-global-500
136,CRRC Group,China,Industrial Machinery,172869,www.crrcgc.cc,fortune-global-500
137,Mercedes-Benz Group,Germany,Motor Vehicles & Parts,172425,group.mercedes-benz.com,fortune-global-500
138,Engie,France,Energy,171474,www.engie.com,fortune-global-500
139,Walt Disney,U.S.,Entertainment,171000,www.thewaltdisneycompany.com,fortune-global-500
140,Amphenol Corporation,United States,,170000,,largest-us-employers
141,Veolia Environnement,France,Utilities,169741,www.veolia.com,fortune-global-500
142,Anheuser-Busch InBev,Belgium,Beverages,169339,www.ab-inbev.com,fortune-global-500
143,General Electric,U.S.,Industrial Machinery,168000,www.ge.com,fortune-global-500
144,Denso,Japan,Motor Vehicles & Parts,167950,www.denso.com/global,fortune-global-500
145,Saint-Gobain,France,"Building Materials, Glass",167816,www.saint-gobain.com,fortune-global-500
146,Midea Group,China,"Electronics, Electrical Equip.",165799,www.midea-group.com,fortune-global-500
147,Inditex,Spain,Specialty Retailers,165042,www.inditex.com,fortune-global-500
148,Lear Corporation,United States,,164300,,largest-us-employers
149,Electricité de France,France,Utilities,163423,www.edf.fr,fortune-global-500
150,Dollar General,U.S.,Specialty Retailers,163000,www.dollargeneral.com,fortune-global-500
151,China South Industries Group,China,Aerospace & Defense,162498,www.csgc.com.cn,fortune-global-500
152,Christian Dior,France,Apparel,162254,www.dior-finance.com,fortune-global-500
153,Magna International,Canada,Motor Vehicles & Parts,158000,www.magna.com,fortune-global-500
154,ArcelorMittal,Luxembourg,Metals,157909,www.arcelormittal.com,fortune-global-500
155,ZF Friedrichshafen,Germany,Motor Vehicles & Parts,157549,www.zf.com,fortune-global-500
156,General Motors,U.S.,Motor Vehicles & Parts,157000,www.gm.com,fortune-global-500
157,Alphabet,U.S.,Internet Services and Retailing,156500,www.abc.xyz,fortune-global-500
158,Renault,France,Motor Vehicles & Parts,156466,renaultgroup.com,fortune-global-500
159,Allianz,Germany,"Insurance: Life, Health (Stock)",155411,www.allianz.com,fortune-global-500
160,"CBRE Group, Inc.",United States,,155000,,largest-us-employers
161,Apple,U.S.,"Computers, Office Equipment",154000,www.apple.com,fortune-global-500
162,"GXO Logistics, Inc.",United States,,154000,,largest-us-employers
163,Susun Construction Group,China,Engineering & Construction,153242,www.ss-ceo.com,fortune-global-500
164,"Dollar Tree, Inc.",United States,,153032,,largest-us-employers
165,ELO Group,France,Food & Drug Stores,153005,www.groupe-elo.com,fortune-global-500
166,McDonald's Corporation,United States,,150000,,largest-us-employers
167,China National Coal Group,China,"Mining, Crude-Oil Production",149898,www.chinacoal.com,fortune-global-500
168,Flex Ltd.,United States,,149686,,largest-us-employers
169,CITIC Group,China,Diversified Financials,148108,www.group.citic,fortune-global-500
170,Unilever,Britain,Household and Personal Products,148044,www.unilever.com,fortune-global-500
171,SAIC Motor,China,Motor Vehicles & Parts,146145,www.saicmotor.com,fortune-global-500
172,Mitsubishi Electric,Japan,"Electronics, Electrical Equip.",145696,www.mitsubishielectric.com,fortune-global-500
173,Boeing,U.S.,Aerospace & Defense,142000,www.boeing.com,fortune-global-500
174,Nissan Motor,Japan,Motor Vehicles & Parts,141983,www.nissan-global.com,fortune-global-500
175,"Barrett Business Services, Inc.",United States,,141802,,largest-us-employers
176,Johnson & Johnson,U.S.,Pharmaceuticals,141700,www.jnj.com,fortune-global-500
177,Dongfeng Motor,China,Motor Vehicles & Parts,141681,www.dfmc.com.cn,fortune-global-500
178,China Aerospace Science & Industry,China,Aerospace & Defense,141678,www.casic.com.cn,fortune-global-500
179,Orange,France,Telecommunications,139698,www.orange.com,fortune-global-500
180,China Vanke,China,Real Estate,139494,www.vanke.com,fortune-global-500
181,American Airlines Group Inc.,United States,,139100,,largest-us-employers
182,Aluminum Corp. of China,China,Metals,138717,www.chinalco.com.cn,fortune-global-500
183,Tyson Foods,U.S.,Food Production,137000,www.tysonfoods.com,fortune-global-500
184,Itochu,Japan,Trading,136722,www.itochu.co.jp,fortune-global-500
185,Bridgestone,Japan,Motor Vehicles & Parts,135636,www.bridgestone.com,fortune-global-500
186,Mitsubishi UFJ Financial Group,Japan,Banks: Commercial and Savings,135042,www.mufg.jp,fortune-global-500
187,Dell Technologies,U.S.,"Computers, Office Equipment",133000,www.delltechnologies.com,fortune-global-500
188,Pegatron,Taiwan,"Electronics, Electrical Equip.",132157,www.pegatroncorp.com,fortune-global-500
189,Sinomach,China,Industrial Machinery,132147,www.sinomach.com.cn,fortune-global-500
190,Oracle,U.S.,Computer Software,132000,www.oracle.com,fortune-global-500
191,Shaanxi Coal & Chemical Industry,China,"Mining, Crude-Oil Production",130914,www.shccig.com,fortune-global-500
192,New Hope Holding Group,China,Food Production,130887,www.newhopegroup.com,fortune-global-500
193,"Chipotle Mexican Grill, Inc.",United States,,130301,,largest-us-employers
194,"AutoZone, Inc.",United States,,130000,,largest-us-employers
195,Shaanxi Yanchang Petroleum (Group),China,"Mining, Crude-Oil Production",129018,www.sxycpc.com,fortune-global-500
196,Thermo Fisher Scientific,U.S.,"Scientific, Photographic & Control Equipment",129000,www.thermofisher.com,fortune-global-500
197,Zhejiang Geely Holding Group,China,Motor Vehicles & Parts,128928,www.zgh.com,fortune-global-500
198,Schneider Electric,France,"Electronics, Electrical Equip.",128000,www.se.com,fortune-global-500
199,Seven & I Holdings,Japan,Specialty Retailers,127196,www.7andi.com,fortune-global-500
200,Airbus,Netherlands,Aerospace & Defense,126495,www.airbus.com,fortune-global-500
201,China Huaneng Group,China,Energy,125365,www.chng.com.cn,fortune-global-500
202,Bouygues,France,Engineering & Construction,124651,www.bouygues.com,fortune-global-500
203,Fujitsu,Japan,Information Technology Services,124216,www.fujitsu.com,fortune-global-500
204,Société Générale,France,Banks: Commercial and Savings,124089,www.societegenerale.com,fortune-global-500
205,Alimentation Couche-Tard,Canada,Specialty Retailers,124000,corpo.couche-tard.com,fortune-global-500
206,Pemex,Mexico,"Mining, Crude-Oil Production",123842,www.pemex.com,fortune-global-500
207,American Airlines Group,U.S.,Airlines,123400,www.aa.com,fortune-global-500
208,State Power Investment,China,Energy,121470,www.spic.com.cn,fortune-global-500
209,Hengli Group,China,Textiles,121430,www.hengli.com,fortune-global-500
210,Hyundai Motor,South Korea,Motor Vehicles & Parts,121403,worldwide.hyundai.com,fortune-global-500
211,Intel,U.S.,Semiconductors & Other Electronic Components,121100,www.intel.com,fortune-global-500
212,Coles Group,Australia,Food & Drug Stores,120000,www.colesgroup.com.au,fortune-global-500
213,Omnicom Group Inc.,United States,,120000,,largest-us-employers
214,China Energy Engineering Group,China,Engineering & Construction,119574,www.ceec.net.cn,fortune-global-500
215,Poste Italiane,Italy,"Insurance: Life, Health (Stock)",118969,www.posteitaliane.it,fortune-global-500
216,BMW Group,Germany,Motor Vehicles & Parts,118909,www.bmwgroup.com,fortune-global-500
217,China FAW Group,China,Motor Vehicles & Parts,118648,www.faw.com.cn,fortune-global-500
218,Verizon Communications,U.S.,Telecommunications,118400,www.verizon.com,fortune-global-500
219,SK,South Korea,Petroleum Refining,117438,www.sk.co.kr,fortune-global-500
220,Aisin,Japan,Motor Vehicles & Parts,117177,www.aisin.com,fortune-global-500
221,J. Sainsbury,Britain,Food & Drug Stores,117000,www.about.sainsburys.co.uk,fortune-global-500
222,HBIS Group,China,Metals,116572,www.hbisco.com,fortune-global-500
223,Toshiba,Japan,"Electronics, Electrical Equip.",116224,www.toshiba.co.jp,fortune-global-500
224,Nippon Steel Corporation,Japan,Metals,115667,www.nipponsteel.com,fortune-global-500
225,DXC Technology Company,United States,,115000,,largest-us-employers
226,Lockheed Martin,U.S.,Aerospace & Defense,114000,www.lockheedmartin.com,fortune-global-500
227,Jones Lang LaSalle Incorporated,United States,,113200,,largest-us-employers
228,"United Airlines Holdings, Inc.",United States,,113200,,largest-us-employers
229,Abbott Laboratories,U.S.,Medical Products and Equipment,113000,www.abbott.com,fortune-global-500
230,ABM Industries Incorporated,United States,,113000,,largest-us-employers
231,Tencent Holdings,China,Internet Services and Retailing,112771,www.tencent.com,fortune-global-500
232,Guangzhou Automobile Industry Group,China,Motor Vehicles & Parts,112113,www.gac.com.cn,fortune-global-500
233,BASF,Germany,Chemicals,111047,www.basf.com,fortune-global-500
234,"Ross Stores, Inc.",United States,,111000,,largest-us-employers
235,China Poly Group,China,Real Estate,110785,www.poly.com.cn,fortune-global-500
236,Banco Bilbao Vizcaya Argentaria,Spain,Banks: Commercial and Savings,110432,www.bbva.com,fortune-global-500
237,Compal Electronics,Taiwan,"Computers, Office Equipment",109709,www.compal.com,fortune-global-500
238,SLB N.V.,United States,,109000,,largest-us-employers
239,Sony,Japan,"Electronics, Electrical Equip.",108900,www.sony.net,fortune-global-500
240,"Coupang, Inc.",United States,,108000,,largest-us-employers
241,Royal Caribbean Cruises Ltd.,United States,,108000,,largest-us-employers
242,COFCO,China,Trading,107829,www.cofco.com,fortune-global-500
243,Caterpillar,U.S.,Construction and Farm Machinery,107700,www.caterpillar.com,fortune-global-500
244,COSCO Shipping,China,Shipping,107551,www.coscoshipping.com,fortune-global-500
245,SAP,Germany,Computer Software,107415,www.sap.com,fortune-global-500
246,China Pacific Insurance (Group),China,"Insurance: Life, Health (Stock)",107000,www.cpic.com.cn,fortune-global-500
247,Koç Holding,Turkey,Energy,105908,www.koc.com.tr,fortune-global-500
248,Life Insurance Corp. of India,India,"Insurance: Life, Health (Stock)",105738,www.licindia.in,fortune-global-500
249,ACS,Spain,Engineering & Construction,105553,www.grupoacs.com,fortune-global-500
250,"DICK'S Sporting Goods, Inc.",United States,,105200,,largest-us-employers
251,Haier Smart Home,China,"Electronics, Electrical Equip.",104874,www.haier.net/en,fortune-global-500
252,ABB,Switzerland,Industrial Machinery,104400,www.abb.com,fortune-global-500
253,Novartis,Switzerland,Pharmaceuticals,104323,www.novartis.com,fortune-global-500
254,Telefónica,Spain,Telecommunications,104150,www.telefonica.com,fortune-global-500
255,China Merchants Bank,China,Banks: Commercial and Savings,103669,www.cmbchina.com,fortune-global-500
256,General Dynamics,U.S.,Aerospace & Defense,103100,www.gd.com,fortune-global-500
257,Lukoil,Russia,Petroleum Refining,102424,www.lukoil.com,fortune-global-500
258,"Universal Health Services, Inc.",United States,,101500,,largest-us-employers
259,TotalEnergies,France,Petroleum Refining,101309,www.totalenergies.com,fortune-global-500
260,ThyssenKrupp,Germany,Metals,101275,www.thyssenkrupp.com,fortune-global-500
261,Sumitomo Mitsui Financial Group,Japan,Banks: Commercial and Savings,101023,www.smfg.co.jp,fortune-global-500
262,Procter & Gamble,U.S.,Household and Personal Products,101000,www.pg.com,fortune-global-500
263,Carnival Corporation Ltd.,United States,,101000,,largest-us-employers
264,Honeywell International Inc.,United States,,101000,,largest-us-employers
265,"Texas Roadhouse, Inc.",United States,,101000,,largest-us-employers
266,Roche Group,Switzerland,Pharmaceuticals,100920,www.roche.com,fortune-global-500
267,Country Garden Holdings,China,Real Estate,100705,www.countrygarden.com.cn,fortune-global-500
268,Beijing Automotive Group,China,Motor Vehicles & Parts,100000,www.baicgroup.com.cn,fortune-global-500
269,Wilmar International,Singapore,Food Production,100000,www.wilmar-international.com,fortune-global-500
270,Bayer,Germany,Pharmaceuticals,99637,www.bayer.com,fortune-global-500
271,Itaú Unibanco Holding,Brazil,Banks: Commercial and Savings,99598,www.itau.com.br,fortune-global-500
272,Tesla,U.S.,Motor Vehicles & Parts,99290,www.tesla.com,fortune-global-500
273,Lu’an Chemical Group,China,"Mining, Crude-Oil Production",99132,www.chinaluan.com,fortune-global-500
274,Honeywell International,U.S.,"Electronics, Electrical Equip.",99000,www.honeywell.com,fortune-global-500
275,Tenet Healthcare Corporation,United States,,99000,,largest-us-employers
276,Groupe BPCE,France,Banks: Commercial and Savings,98727,www.groupebpce.com,fortune-global-500
277,Elevance Health,U.S.,Health Care: Insurance and Managed Care,98200,www.elevancehealth.com,fortune-global-500
278,Danone,France,Food Consumer Products,98105,www.danone.com,fortune-global-500
279,Intesa Sanpaolo,Italy,Banks: Commercial and Savings,97698,www.group.intesasanpaolo.com,fortune-global-500
280,Dell Technologies Inc.,United States,,97000,,largest-us-employers
281,Vodafone Group,Britain,Telecommunications,96941,www.vodafone.com,fortune-global-500
282,Shandong Weiqiao Pioneering Group,China,Textiles,96782,www.weiqiaocy.com,fortune-global-500
283,Shougang Group,China,Metals,96432,www.shougang.com.cn,fortune-global-500
284,Mercadona,Spain,Food & Drug Stores,95800,www.mercadona.es,fortune-global-500
285,Humana,U.S.,Health Care: Insurance and Managed Care,95500,www.humana.com,fortune-global-500
286,Sanofi,France,Pharmaceuticals,95442,www.sanofi.com,fortune-global-500
287,China Everbright Group,China,Banks: Commercial and Savings,95000,www.ebchina.com,fortune-global-500
288,3M,U.S.,Chemicals,95000,www.3m.com,fortune-global-500
289,"Marsh & McLennan Companies, Inc.",United States,,95000,,largest-us-employers
290,Charter Communications,U.S.,Telecommunications,93700,www.charter.com,fortune-global-500
291,IQVIA Holdings Inc.,United States,,93000,,largest-us-employers
292,"O'Reilly Automotive, Inc.",United States,,92923,,largest-us-employers
293,Nippon Life Insurance,Japan,"Insurance: Life, Health (Mutual)",92737,www.nissay.co.jp,fortune-global-500
294,AXA,France,"Insurance: Life, Health (Stock)",92398,www.axa.com,fortune-global-500
295,China Huadian,China,Utilities,92217,www.chd.com.cn,fortune-global-500
296,Siemens Energy,Germany,Energy,92000,www.siemens-energy.com,fortune-global-500
297,Quanta Computer,Taiwan,"Computers, Office Equipment",91313,www.quantatw.com,fortune-global-500
298,China Datang,China,Energy,91005,www.china-cdt.com,fortune-global-500
299,"Mondelez International, Inc.",United States,,91000,,largest-us-employers
300,Bank of Communications,China,Banks: Commercial and Savings,90238,www.bankcomm.com,fortune-global-500
301,"Macy's, Inc.",United States,,90134,,largest-us-employers
302,GSK,Britain,Pharmaceuticals,90096,www.gsk.com,fortune-global-500
303,Medtronic,Ireland,Medical Products and Equipment,90000,www.medtronic.com,fortune-global-500
304,Bank of Nova Scotia,Canada,Banks: Commercial and Savings,89488,www.scotiabank.com,fortune-global-500
305,Toronto-Dominion Bank,Canada,Banks: Commercial and Savings,89464,www.td.com,fortune-global-500
306,Volvo,Sweden,Motor Vehicles & Parts,89195,www.volvogroup.com,fortune-global-500
307,Northrop Grumman,U.S.,Aerospace & Defense,88000,www.northropgrumman.com,fortune-global-500
308,Metro,Germany,Wholesalers: Food and Grocery,86527,www.metroag.de,fortune-global-500
309,"Cisco Systems, Inc.",United States,,86200,,largest-us-employers
310,Shenzhen Investment Holdings,China,Diversified Financials,86030,www.sihc.com.cn/en,fortune-global-500
311,Tsingshan Holding Group,China,Metals,85553,www.tssgroup.com.cn,fortune-global-500
312,L'Oréal,France,Household and Personal Products,85412,www.loreal.com,fortune-global-500
313,Maersk Group,Denmark,Shipping,85375,www.maersk.com,fortune-global-500
314,Royal Bank of Canada,Canada,Banks: Commercial and Savings,85301,www.rbc.com,fortune-global-500
315,Philip Morris International Inc.,United States,,84900,,largest-us-employers
316,Banco do Brasil,Brazil,Banks: Commercial and Savings,84597,www.bb.com.br,fortune-global-500
317,Kohl's Corporation,United States,,84000,,largest-us-employers
318,"Brinker International, Inc.",United States,,83840,,largest-us-employers
319,"Salesforce, Inc.",United States,,83334,,largest-us-employers
320,"Burlington Stores, Inc.",United States,,83309,,largest-us-employers
321,AstraZeneca,Britain,Pharmaceuticals,83100,www.astrazeneca.com,fortune-global-500
322,Delta Air Lines,U.S.,Airlines,83000,www.delta.com,fortune-global-500
323,Deutsche Bank,Germany,Banks: Commercial and Savings,82969,www.db.com,fortune-global-500
324,Coop Group,Switzerland,Food & Drug Stores,82697,www.coop.ch,fortune-global-500
325,Weichai Power,China,Industrial Machinery,82600,www.weichaipower.com,fortune-global-500
326,Shell,Britain,Petroleum Refining,82000,www.shell.com,fortune-global-500
327,"Best Buy Co., Inc.",United States,,82000,,largest-us-employers
328,Gree Electric Appliances,China,"Electronics, Electrical Equip.",81884,www.gree.com,fortune-global-500
329,Barclays,Britain,Banks: Commercial and Savings,81600,www.home.barclays,fortune-global-500
